Community,Size,Organization,Direct Ratio,P2p Ratio,Influence,Rich Club,Betweenness
0,14384,LACNIC,14.0%,74.0%,230.53,1.0,0.06
1,9,ARIN,0.0%,17.0%,0.18,0.19,0.0
2,2,RIPE,25.0%,0.0%,0.03,0.3,0.0
3,2172,RIPE,3.0%,93.0%,46.15,1.0,0.0
4,8,ARIN,10.0%,0.0%,0.24,0.16,0.0
5,6,RIPE,20.0%,0.0%,0.19,0.3,0.0
6,13904,RIPE,5.0%,91.0%,251.35,0.0,0.11
7,15438,APNIC,10.0%,65.0%,257.02,1.0,0.08
8,5,RIPE,17.0%,0.0%,0.09,0.19,0.0
9,43,RIPE,0.0%,18.0%,0.97,0.49,0.0
10,624,AFRINIC,10.0%,87.0%,9.12,1.0,0.0
11,165,ARIN,0.0%,13.0%,1.17,0.19,0.0
12,3,RIPE,0.0%,33.0%,0.03,0.4,0.0
13,15,RIPE,9.0%,28.0%,0.34,0.49,0.0
14,11502,ARIN,69.0%,23.0%,157.34,1.0,0.09
15,5,LACNIC,0.0%,0.0%,0.11,0.19,0.0
16,10,RIPE,5.0%,5.0%,0.34,0.3,0.0
17,21,RIPE,0.0%,2.0%,0.5,0.61,0.0
18,11,RIPE,7.0%,0.0%,0.21,0.19,0.0
19,85,APNIC,3.0%,12.0%,1.83,0.61,0.0
20,2,RIPE,33.0%,0.0%,0.0,0.19,0.0
21,4,RIPE,12.0%,25.0%,0.07,0.4,0.0
22,72,APNIC,2.0%,1.0%,1.87,0.61,0.0
23,2,RIPE,0.0%,0.0%,0.03,0.09,0.0
24,3,APNIC,0.0%,0.0%,0.05,0.09,0.0
25,2,RIPE,0.0%,0.0%,0.03,0.09,0.0
26,2,RIPE,0.0%,0.0%,0.03,0.09,0.0
27,3,APNIC,0.0%,0.0%,0.11,0.09,0.0
28,5,APNIC,0.0%,0.0%,0.12,0.09,0.0
29,3,RIPE,0.0%,0.0%,0.05,0.16,0.0
30,60,RIPE,4.0%,10.0%,1.42,0.88,0.0
31,3,RIPE,0.0%,0.0%,0.09,0.09,0.0
32,2,RIPE,0.0%,100.0%,0.0,0.09,0.0
