community,size,direct_ratio,p2p_ratio,influence,log_influence,radius,rich_club,clustering,betweenness,tier1_ratio,tier2_ratio,organization,x_mds,y_mds,angle,distance
0,115,0.04,0.55,1.04,0.7131891024458085,132.18,0.47,1.0,0.0,0.0,0.0,ARIN,1.04,-1.21,310.66,1.6
1,13,0.07,0.0,0.28,0.2460542967484992,143.85,0.11,1.0,0.0,0.0,0.0,APNIC,-0.17,1.32,97.3,1.33
2,22516,0.08,0.83,403.44,6.002501074157366,0.0,0.0,0.05,0.29,0.0,0.0,RIPE,-0.17,-12.45,269.24,12.45
3,7,0.12,0.0,0.12,0.1166996494478348,147.08,0.11,1.0,0.0,0.0,0.0,RIPE,-0.0,1.52,90.09,1.52
4,94,0.07,0.07,2.72,1.3129989584561357,117.19,0.81,1.0,0.0,0.0,0.0,RIPE,1.69,-0.11,356.13,1.69
5,2,0.0,0.0,0.0,1.6547584028594626e-05,150.0,0.11,1.0,0.0,0.0,0.0,RIPE,-0.51,1.35,110.81,1.44
6,10,0.12,0.0,0.25,0.2264249784129642,144.34,0.11,1.0,0.0,0.0,0.0,AFRINIC,0.02,1.49,89.32,1.49
7,20,0.16,0.17,0.46,0.3792407053551535,140.52,0.62,1.0,0.0,0.0,0.0,ARIN,1.41,0.55,21.41,1.51
8,7150,0.31,0.44,101.37,4.628551937837606,34.33,1.0,0.38,0.01,0.0,0.0,RIPE,2.84,-3.84,306.48,4.78
9,2690,0.04,0.91,56.31,4.048546261663992,48.83,1.0,0.56,0.0,0.0,0.0,RIPE,3.18,-3.34,313.55,4.61
10,10892,0.71,0.22,148.54,5.007577309695875,24.86,1.0,0.12,0.08,0.0,0.0,ARIN,7.33,-2.29,342.65,7.68
11,9,0.23,0.0,0.18,0.1664682008791951,145.84,0.11,1.0,0.0,0.0,0.0,ARIN,0.43,2.04,78.22,2.08
12,24,0.1,0.02,0.6,0.4703417619887831,138.25,0.34,1.0,0.0,0.0,0.0,AFRINIC,0.47,0.87,61.82,0.99
13,3,0.2,0.0,0.05,0.0500195606111713,148.75,0.21,1.0,0.0,0.0,0.0,ARIN,0.47,1.74,74.78,1.8
14,4,0.11,0.11,0.12,0.1100644290334123,147.25,0.21,1.0,0.0,0.0,0.0,AFRINIC,0.3,1.1,74.72,1.14
15,8,0.0,0.0,0.28,0.2435272394029659,143.91,0.06,0.0,0.0,0.0,0.0,AFRINIC,-1.76,0.02,179.4,1.76
16,29,0.06,0.16,0.78,0.578031953843205,135.56,0.62,1.0,0.0,0.0,0.0,RIPE,1.04,0.07,3.69,1.04
17,9,0.21,0.0,0.24,0.2176224255224913,144.56,0.21,1.0,0.0,0.0,0.0,APNIC,0.54,1.77,72.89,1.85
18,3,0.0,0.0,0.03,0.0295432814478786,149.26,0.06,0.0,0.0,0.0,0.0,RIPE,-1.8,0.12,176.24,1.8
19,10,0.19,0.41,0.0,6.299668679508066e-05,150.0,0.21,1.0,0.0,0.0,0.0,ARIN,1.51,1.26,39.88,1.97
20,7,0.06,0.06,0.17,0.1568988921267912,146.08,0.34,1.0,0.0,0.0,0.0,RIPE,0.32,0.69,64.93,0.76
21,5,0.0,0.0,0.09,0.0866061796276521,147.84,0.06,0.0,0.0,0.0,0.0,RIPE,-1.79,0.09,177.04,1.79
22,10,0.0,0.06,0.21,0.1884917740702458,145.29,0.21,1.0,0.0,0.0,0.0,RIPE,-0.09,0.74,96.92,0.75
23,395,0.01,0.24,6.04,1.9509923131466569,101.25,0.62,1.0,0.0,0.0,0.0,RIPE,1.22,-0.7,329.92,1.41
24,2,0.33,0.0,0.0,1.6238603157840062e-05,150.0,0.11,1.0,0.0,0.0,0.0,APNIC,0.92,2.57,70.4,2.73
25,2,0.0,0.0,0.03,0.0259663834966753,149.35,0.05,0.0,0.0,0.0,0.0,APNIC,-1.82,0.13,176.03,1.82
26,4,0.11,0.11,0.09,0.0827441149905948,147.93,0.47,1.0,0.0,0.0,0.0,APNIC,0.79,0.64,38.82,1.02
27,21,0.1,0.15,0.52,0.4179163926039255,139.56,0.57,1.0,0.0,0.0,0.0,RIPE,1.03,0.35,18.76,1.09
28,538,0.09,0.88,6.57,2.0243643195293743,99.41,0.95,1.0,0.0,0.0,0.0,AFRINIC,3.29,-1.97,329.11,3.83
29,6,0.09,0.0,0.13,0.1203529876648807,146.99,0.34,1.0,0.0,0.0,0.0,APNIC,0.37,0.92,68.06,0.99
30,4,0.0,0.0,0.0,1.6471587603125505e-05,150.0,0.06,0.0,0.0,0.0,0.0,APNIC,-1.81,0.13,175.77,1.81
31,11773,0.09,0.73,194.07,5.273359418180043,18.22,1.0,0.36,0.01,0.0,0.0,LACNIC,2.8,-5.65,296.36,6.31
32,10,0.0,0.0,0.2,0.1822498408749388,145.45,0.21,1.0,0.0,0.0,0.0,RIPE,-0.18,0.92,101.27,0.94
33,2,0.0,0.5,0.0,3.8376915683669385e-05,150.0,0.06,0.0,0.0,0.0,0.0,RIPE,-1.25,-1.62,232.46,2.05
34,4,0.0,0.17,0.05,0.0519515698616834,148.7,0.06,0.0,0.0,0.0,0.0,RIPE,-1.84,0.53,163.75,1.91
35,1922,0.27,0.12,33.12,3.5298182265843208,61.79,1.0,0.82,0.0,0.0,0.0,APNIC,3.48,-0.4,353.38,3.5
36,6,0.2,0.0,0.17,0.1595689871336009,146.01,0.21,1.0,0.0,0.0,0.0,RIPE,0.5,1.72,73.92,1.79
37,45,0.04,0.01,1.2,0.7876734585086229,130.32,0.81,1.0,0.0,0.0,0.0,APNIC,1.58,-0.01,359.52,1.58
38,4,0.0,0.33,0.07,0.0688387589343378,148.28,0.34,1.0,0.0,0.0,0.0,APNIC,0.46,-0.32,325.23,0.56
39,2,0.33,0.0,0.0,1.6554721248740383e-05,150.0,0.11,1.0,0.0,0.0,0.0,ARIN,0.91,2.57,70.58,2.73
40,5,0.12,0.0,0.11,0.1025890161351471,147.44,0.11,1.0,0.0,0.0,0.0,ARIN,-0.01,1.52,90.19,1.52
41,2,0.0,0.0,0.0,1.712964502808115e-05,150.0,0.11,1.0,0.0,0.0,0.0,ARIN,-0.51,1.35,110.81,1.44
42,4,0.0,0.14,0.05,0.0513942027176811,148.72,0.11,1.0,0.0,0.0,0.0,LACNIC,-0.27,0.92,106.57,0.96
43,17,0.0,0.0,0.22,0.2026791933083201,144.94,0.11,0.0,0.0,0.0,0.0,APNIC,-1.68,-0.02,180.51,1.68
44,5,0.0,0.0,0.12,0.1145032565650512,147.14,0.05,0.0,0.0,0.0,0.0,APNIC,-1.8,0.08,177.49,1.8
45,4,0.0,0.0,0.11,0.1067841605412735,147.33,0.11,0.0,0.0,0.0,0.0,RIPE,-1.7,0.01,179.6,1.7
46,2,0.0,0.0,0.04,0.0439285764207269,148.9,0.06,0.0,0.0,0.0,0.0,RIPE,-1.8,0.11,176.45,1.8
47,3,0.0,0.0,0.1,0.098162158943095,147.55,0.05,0.0,0.0,0.0,0.0,RIPE,-1.81,0.09,177.24,1.81
