community,size,direct_ratio,p2p_ratio,influence,log_influence,radius,rich_club,clustering,betweenness,tier1_ratio,tier2_ratio,organization,x_mds,y_mds,angle,distance
48,3,0.2,0.2,0.03,0.0290214879513792,149.28,0.11,1.0,0.0,0.0,0.0,RIPE,0.8,1.58,63.16,1.77
49,11,0.0,0.04,0.17,0.1566283329864035,146.09,0.11,0.0,0.0,0.0,0.0,RIPE,-1.64,-0.06,182.16,1.64
50,2,0.0,0.0,0.03,0.0259256951679878,149.35,0.06,0.0,0.0,0.0,0.0,RIPE,-1.8,0.12,176.19,1.8
51,2,0.0,0.0,0.0,1.6262081165988164e-05,150.0,0.06,0.0,0.0,0.0,0.0,RIPE,-1.81,0.13,175.77,1.81
52,2,0.0,0.0,0.0,1.6189122682818447e-05,150.0,0.06,0.0,0.0,0.0,0.0,APNIC,-1.81,0.13,175.77,1.81
53,3,0.0,0.0,0.05,0.0499521116018857,148.75,0.05,0.0,0.0,0.0,0.0,APNIC,-1.82,0.11,176.45,1.82
54,2,0.0,0.0,0.04,0.0439783777283987,148.9,0.05,0.0,0.0,0.0,0.0,RIPE,-1.82,0.12,176.34,1.82
55,2,0.0,0.0,0.03,0.0259663834966753,149.35,0.05,0.0,0.0,0.0,0.0,RIPE,-1.82,0.13,176.03,1.82
56,3,0.0,0.0,0.0,1.6096649073379005e-05,150.0,0.06,0.0,0.0,0.0,0.0,APNIC,-1.81,0.13,175.77,1.81
57,2,0.0,0.0,0.03,0.0257589738261564,149.36,0.06,0.0,0.0,0.0,0.0,RIPE,-1.8,0.12,176.18,1.8
58,3,0.0,0.0,0.05,0.0499366535286494,148.75,0.06,0.0,0.0,0.0,0.0,RIPE,-1.8,0.11,176.53,1.8
