Community,Size,Organization,Direct Ratio,P2p Ratio,Influence,Rich Club,Betweenness
0,115,ARIN,4.0%,55.0%,1.04,0.47,0.0
1,13,APNIC,7.0%,0.0%,0.28,0.11,0.0
2,22516,RIPE,8.0%,83.0%,403.44,0.0,0.29
3,7,RIPE,12.0%,0.0%,0.12,0.11,0.0
4,94,RIPE,7.0%,7.0%,2.72,0.81,0.0
5,2,RIPE,0.0%,0.0%,0.0,0.11,0.0
6,10,AFRINIC,12.0%,0.0%,0.25,0.11,0.0
7,20,ARIN,16.0%,17.0%,0.46,0.62,0.0
8,7150,RIPE,31.0%,44.0%,101.37,1.0,0.01
9,2690,RIPE,4.0%,91.0%,56.31,1.0,0.0
10,10892,ARIN,71.0%,22.0%,148.54,1.0,0.08
11,9,ARIN,23.0%,0.0%,0.18,0.11,0.0
12,24,AFRINIC,10.0%,2.0%,0.6,0.34,0.0
13,3,ARIN,20.0%,0.0%,0.05,0.21,0.0
14,4,AFRINIC,11.0%,11.0%,0.12,0.21,0.0
15,8,AFRINIC,0.0%,0.0%,0.28,0.06,0.0
16,29,RIPE,6.0%,16.0%,0.78,0.62,0.0
17,9,APNIC,21.0%,0.0%,0.24,0.21,0.0
18,3,RIPE,0.0%,0.0%,0.03,0.06,0.0
19,10,ARIN,19.0%,41.0%,0.0,0.21,0.0
20,7,RIPE,6.0%,6.0%,0.17,0.34,0.0
21,5,RIPE,0.0%,0.0%,0.09,0.06,0.0
22,10,RIPE,0.0%,6.0%,0.21,0.21,0.0
23,395,RIPE,1.0%,24.0%,6.04,0.62,0.0
24,2,APNIC,33.0%,0.0%,0.0,0.11,0.0
25,2,APNIC,0.0%,0.0%,0.03,0.05,0.0
26,4,APNIC,11.0%,11.0%,0.09,0.47,0.0
27,21,RIPE,10.0%,15.0%,0.52,0.57,0.0
28,538,AFRINIC,9.0%,88.0%,6.57,0.95,0.0
29,6,APNIC,9.0%,0.0%,0.13,0.34,0.0
30,4,APNIC,0.0%,0.0%,0.0,0.06,0.0
31,11773,LACNIC,9.0%,73.0%,194.07,1.0,0.01
32,10,RIPE,0.0%,0.0%,0.2,0.21,0.0
33,2,RIPE,0.0%,50.0%,0.0,0.06,0.0
34,4,RIPE,0.0%,17.0%,0.05,0.06,0.0
35,1922,APNIC,27.0%,12.0%,33.12,1.0,0.0
36,6,RIPE,20.0%,0.0%,0.17,0.21,0.0
37,45,APNIC,4.0%,1.0%,1.2,0.81,0.0
38,4,APNIC,0.0%,33.0%,0.07,0.34,0.0
39,2,ARIN,33.0%,0.0%,0.0,0.11,0.0
40,5,ARIN,12.0%,0.0%,0.11,0.11,0.0
41,2,ARIN,0.0%,0.0%,0.0,0.11,0.0
42,4,LACNIC,0.0%,14.0%,0.05,0.11,0.0
43,17,APNIC,0.0%,0.0%,0.22,0.11,0.0
44,5,APNIC,0.0%,0.0%,0.12,0.05,0.0
45,4,RIPE,0.0%,0.0%,0.11,0.11,0.0
46,2,RIPE,0.0%,0.0%,0.04,0.06,0.0
47,3,RIPE,0.0%,0.0%,0.1,0.05,0.0
48,3,RIPE,20.0%,20.0%,0.03,0.11,0.0
49,11,RIPE,0.0%,4.0%,0.17,0.11,0.0
50,2,RIPE,0.0%,0.0%,0.03,0.06,0.0
51,2,RIPE,0.0%,0.0%,0.0,0.06,0.0
52,2,APNIC,0.0%,0.0%,0.0,0.06,0.0
53,3,APNIC,0.0%,0.0%,0.05,0.05,0.0
54,2,RIPE,0.0%,0.0%,0.04,0.05,0.0
55,2,RIPE,0.0%,0.0%,0.03,0.05,0.0
56,3,APNIC,0.0%,0.0%,0.0,0.06,0.0
57,2,RIPE,0.0%,0.0%,0.03,0.06,0.0
58,3,RIPE,0.0%,0.0%,0.05,0.06,0.0
