community,size,direct_ratio,p2p_ratio,influence,log_influence,radius,rich_club,clustering,betweenness,tier1_ratio,tier2_ratio,organization
0,115,0.0389610389610389,0.551948051948052,1.0404801709854397,0.7131891024458085,132.178056043396,0.4714285714285714,1.0,0.0,0.0,0.0,ARIN
1,13,0.074074074074074,0.0,0.2789609671261458,0.2460542967484992,143.85159144034478,0.10512820512820513,1.0,0.0,0.0,0.0,APNIC
2,22516,0.0777863619729191,0.8341107516076003,403.4390536252741,6.002501074157366,0.0,0.0,0.053544494720965306,0.2887729380923573,4.441286196482501e-05,0.00017765144785930004,RIPE
3,7,0.125,0.0,0.1237738021084034,0.1166996494478348,147.08411882988506,0.10512820512820513,1.0,0.0,0.0,0.0,RIPE
4,94,0.073170731707317,0.0682926829268292,2.71729700769123,1.3129989584561357,117.1890175470602,0.8055555555555556,1.0,0.0,0.0,0.0,RIPE
5,2,0.0,0.0,8.499331628078096e-06,1.6547584028594626e-05,149.9999887312932,0.10512820512820513,1.0,0.0,0.0,0.0,RIPE
6,10,0.1176470588235294,0.0,0.2541004727037243,0.2264249784129642,144.34212123948015,0.10512820512820513,1.0,0.0,0.0,0.0,AFRINIC
7,20,0.1578947368421052,0.1710526315789473,0.4611666576045126,0.3792407053551535,140.523309676066,0.6212121212121212,1.0,0.0,0.0,0.0,ARIN
8,7150,0.3078378378378378,0.4376576576576577,101.36571675294375,4.628551937837606,34.33450832783518,1.0,0.38333333333333336,0.00522282718289978,0.0008391608391608392,0.0006993006993006993,RIPE
9,2690,0.0352335131457452,0.9078339894056472,56.31406873458689,4.048546261663992,48.82864729728534,1.0,0.5636363636363636,0.002349263964508974,0.0,0.0007434944237918215,RIPE
10,10892,0.7119615878431855,0.2191462792620082,148.5419949223434,5.007577309695875,24.86279686303763,1.0,0.11764705882352941,0.07612925993143779,0.0020198310686742565,0.0001836210062431142,ARIN
11,9,0.2307692307692307,0.0,0.1811179281162742,0.1664682008791951,145.84042013798046,0.10512820512820513,1.0,0.0,0.0,0.0,ARIN
12,24,0.0961538461538461,0.0192307692307692,0.6005330554768752,0.4703417619887831,138.2467261367071,0.3362573099415205,1.0,0.0,0.0,0.0,AFRINIC
13,3,0.2,0.0,0.0512836116929821,0.0500195606111713,148.75043092612148,0.20923076923076922,1.0,0.0,0.0,0.0,ARIN
