202404,202405,202406,202407,202408,202409,202410
17015,17762,16489,19543,16792,14570,20699
8007,7933,7950,7701,9711,0,13053
10196,11912,12492,9571,10370,9427,13661
2071,1359,1346,1762,1529,1337,1444
6801,10491,9782,8441,6370,6077,0
3469,3412,3450,3462,3407,3462,5375
1787,0,1642,1779,2327,2111,0
3312,0,0,0,2600,0,2382
1086,0,925,941,480,1352,1373
0,691,670,750,751,817,744
401,0,0,0,0,0,0
0,0,331,0,927,906,0
368,196,0,94,0,0,115
69,105,0,0,0,0,0
86,0,0,42,46,48,0
293,0,0,0,0,562,0
183,0,149,0,0,153,410
0,0,0,0,0,0,0
166,166,165,182,165,167,191
156,0,0,403,0,0,0
