community,size,direct_ratio,p2p_ratio,influence,log_influence,radius,rich_club,clustering,betweenness,tier1_ratio,tier2_ratio,organization,x_mds,y_mds,angle,distance
0,93,0.05,0.04,2.43,1.233303722595264,116.07,0.88,1.0,0.0,0.0,0.0,RIPE,0.98,1.0,45.43,1.4
1,2,0.33,0.0,0.03,0.0258377299170841,149.29,0.46,1.0,0.0,0.0,0.0,RIPE,0.48,2.47,79.02,2.52
2,13115,0.66,0.24,174.38,5.166956461010473,7.86,1.0,0.31,0.06,0.0,0.0,ARIN,6.14,-0.4,356.28,6.15
3,8,0.1,0.0,0.24,0.2125485195441933,144.15,0.21,0.0,0.0,0.0,0.0,ARIN,-1.41,-0.05,181.85,1.41
4,3350,0.05,0.9,68.32,4.23873925862156,33.4,1.0,0.93,0.0,0.0,0.0,RIPE,2.46,-1.14,335.16,2.71
5,14,0.21,0.21,0.39,0.3326061296780412,140.85,0.68,1.0,0.0,0.0,0.0,RIPE,0.75,1.64,65.42,1.8
6,9,0.2,0.0,0.25,0.2220221869430981,143.89,0.53,1.0,0.0,0.0,0.0,RIPE,0.28,1.79,81.04,1.81
7,11925,0.1,0.75,203.29,5.319526021380465,3.66,0.0,0.27,0.09,0.0,0.0,APNIC,1.8,-5.47,288.24,5.76
8,12912,0.05,0.92,220.07,5.398491066277793,1.49,1.0,0.38,0.05,0.0,0.0,RIPE,3.58,-3.81,313.24,5.23
9,187,0.03,0.14,1.9,1.0650957326636834,120.7,0.6,1.0,0.0,0.0,0.0,ARIN,0.35,0.84,66.98,0.91
10,15,0.11,0.07,0.4,0.3387561124146664,140.68,0.68,1.0,0.0,0.0,0.0,AFRINIC,0.44,1.3,71.18,1.37
11,2,0.33,0.0,0.05,0.0522982204510848,148.56,0.32,1.0,0.0,0.0,0.0,AFRINIC,0.2,2.57,85.54,2.58
12,5,0.0,0.57,0.0,4.925795251843886e-05,150.0,0.32,1.0,0.0,0.0,0.0,LACNIC,-0.8,1.96,112.23,2.12
13,14105,0.1,0.72,232.39,5.452711313951912,0.0,1.0,0.51,0.01,0.0,0.0,LACNIC,3.95,-2.68,325.86,4.77
14,4,0.0,0.17,0.05,0.0516225538867803,148.58,0.32,1.0,0.0,0.0,0.0,RIPE,-0.48,1.29,110.43,1.38
15,2954,0.19,0.16,51.77,3.9659581812624256,40.9,1.0,1.0,0.0,0.0,0.0,APNIC,2.31,0.74,17.69,2.43
16,3,0.0,0.0,0.05,0.0454558810926745,148.75,0.21,0.0,0.0,0.0,0.0,RIPE,-1.79,0.0,179.96,1.79
17,2,0.0,0.0,0.03,0.025799413844717,149.29,0.1,0.0,0.0,0.0,0.0,RIPE,-2.02,0.05,178.5,2.02
18,6,0.0,0.0,0.09,0.0884132033195891,147.57,0.21,0.0,0.0,0.0,0.0,AFRINIC,-1.79,-0.01,180.36,1.79
19,3,0.0,0.0,0.05,0.049636106976515,148.63,0.1,0.0,0.0,0.0,0.0,APNIC,-2.02,0.05,178.72,2.02
20,2,0.0,0.0,0.03,0.025799413844717,149.29,0.1,0.0,0.0,0.0,0.0,RIPE,-2.02,0.05,178.5,2.02
21,2,0.0,0.0,0.03,0.025799413844717,149.29,0.1,0.0,0.0,0.0,0.0,RIPE,-2.02,0.05,178.5,2.02
22,5,0.0,0.0,0.12,0.113799631081851,146.87,0.1,0.0,0.0,0.0,0.0,APNIC,-2.01,0.02,179.32,2.01
23,2,0.0,0.0,0.0,1.543192922462673e-05,150.0,0.1,0.0,0.0,0.0,0.0,APNIC,-2.03,0.06,178.27,2.03
24,3,0.0,0.0,0.05,0.0496209954102645,148.64,0.21,0.0,0.0,0.0,0.0,RIPE,-1.79,0.0,180.0,1.79
25,3,0.0,0.0,0.09,0.08797552668971,147.58,0.1,0.0,0.0,0.0,0.0,RIPE,-2.01,0.03,179.07,2.01
26,2,0.0,1.0,0.0,3.6787087220867246e-05,150.0,0.1,0.0,0.0,0.0,0.0,RIPE,-1.54,-2.38,237.21,2.83
