community,size,direct_ratio,p2p_ratio,influence,log_influence,radius,rich_club,clustering,betweenness,tier1_ratio,tier2_ratio,organization,x_mds,y_mds,angle,distance
0,12066,0.06,0.71,199.15,5.299080536601644,4.27,1.0,0.45,0.03,0.0,0.0,APNIC,4.55,1.51,18.4,4.79
1,8,0.1,0.0,0.24,0.2125493454252485,144.15,0.19,0.0,0.0,0.0,0.0,ARIN,-1.27,0.77,148.75,1.49
2,6,0.0,0.12,0.16,0.1501382840725365,145.87,0.25,1.0,0.0,0.0,0.0,LACNIC,-0.58,-1.26,245.34,1.39
3,12743,0.65,0.23,175.6,5.1738804545452535,7.71,0.0,0.22,0.08,0.0,0.0,ARIN,1.89,6.88,74.66,7.13
4,11902,0.05,0.92,216.12,5.380466721926347,2.03,1.0,0.39,0.07,0.0,0.0,RIPE,5.01,3.03,31.21,5.85
5,3922,0.14,0.6,78.15,4.371315092222385,29.78,1.0,0.76,0.02,0.0,0.0,ARIN,3.01,0.18,3.43,3.02
6,166,0.0,0.12,1.17,0.776629329265733,128.64,0.42,1.0,0.0,0.0,0.0,ARIN,-0.17,-1.35,262.82,1.36
7,25,0.0,0.02,0.51,0.4144900940522135,138.6,0.9,1.0,0.0,0.0,0.0,RIPE,0.49,-2.21,282.47,2.26
8,2245,0.03,0.92,47.27,3.876909568374362,43.38,1.0,0.86,0.01,0.0,0.0,RIPE,3.35,-1.04,342.8,3.51
9,6,0.2,0.0,0.19,0.1771470725632486,145.13,0.42,1.0,0.0,0.0,0.0,RIPE,-0.84,-2.28,249.82,2.43
10,5,0.12,0.0,0.11,0.1030978903013303,147.17,0.25,1.0,0.0,0.0,0.0,LACNIC,-1.04,-1.74,239.09,2.03
11,86,0.03,0.09,1.96,1.0861403165352292,120.13,0.63,1.0,0.0,0.0,0.0,APNIC,0.25,-1.59,279.05,1.61
12,14,0.0,0.0,0.53,0.4272773981764374,138.25,0.42,1.0,0.0,0.0,0.0,APNIC,-0.45,-1.53,253.51,1.59
13,2,0.0,0.33,0.0,3.768677355309909e-05,150.0,0.25,1.0,0.0,0.0,0.0,APNIC,0.01,-0.85,270.88,0.85
14,14684,0.15,0.74,232.75,5.454245228345921,0.0,1.0,0.29,0.06,0.0,0.0,LACNIC,5.27,2.74,27.51,5.94
15,3,0.0,0.0,0.05,0.0454588631543222,148.75,0.19,0.0,0.0,0.0,0.0,RIPE,-1.64,0.35,167.84,1.68
16,2,0.0,0.0,0.03,0.0257997131708055,149.29,0.09,0.0,0.0,0.0,0.0,RIPE,-1.85,0.36,168.9,1.88
17,5,0.0,0.0,0.12,0.1138004717742658,146.87,0.09,0.0,0.0,0.0,0.0,APNIC,-1.83,0.39,168.01,1.87
18,374,0.0,0.24,5.27,1.8352832150164824,99.53,0.8,1.0,0.0,0.0,0.0,RIPE,1.01,-1.48,304.21,1.79
19,2,0.0,0.0,0.03,0.0257997131708055,149.29,0.09,0.0,0.0,0.0,0.0,RIPE,-1.85,0.36,168.9,1.88
20,3,0.0,0.0,0.05,0.0496363278830297,148.64,0.09,0.0,0.0,0.0,0.0,APNIC,-1.85,0.37,168.67,1.89
21,2,0.0,0.0,0.03,0.0257997131708055,149.29,0.09,0.0,0.0,0.0,0.0,RIPE,-1.85,0.36,168.9,1.88
22,2,0.0,0.0,0.03,0.0257997131708055,149.29,0.09,0.0,0.0,0.0,0.0,RIPE,-1.85,0.36,168.9,1.88
23,3,0.0,0.0,0.11,0.1047264587154566,147.12,0.09,0.0,0.0,0.0,0.0,APNIC,-1.83,0.39,168.11,1.87
24,3,0.0,0.0,0.0,1.5799963996986527e-05,150.0,0.25,1.0,0.0,0.0,0.0,APNIC,-0.86,-1.42,238.87,1.66
25,3,0.0,0.0,0.05,0.049621240185388,148.64,0.19,0.0,0.0,0.0,0.0,RIPE,-1.63,0.35,167.79,1.67
26,53,0.03,0.12,1.47,0.9041265983845568,125.14,0.63,1.0,0.0,0.0,0.0,RIPE,0.27,-1.55,279.79,1.57
27,2,0.0,0.0,0.0,1.5602817838224556e-05,150.0,0.09,0.0,0.0,0.0,0.0,RIPE,-1.86,0.36,169.15,1.89
28,2,0.0,0.33,0.0,3.906423418883011e-05,150.0,0.25,1.0,0.0,0.0,0.0,LACNIC,0.01,-0.85,270.88,0.85
29,3,0.0,0.0,0.05,0.0496363278830297,148.64,0.09,0.0,0.0,0.0,0.0,LACNIC,-1.85,0.37,168.67,1.89
