Community,Size,Organization,Direct Ratio,P2p Ratio,Influence,Rich Club,Betweenness
0,12066,APNIC,6.0%,71.0%,199.15,1.0,0.03
1,8,ARIN,10.0%,0.0%,0.24,0.19,0.0
2,6,LACNIC,0.0%,12.0%,0.16,0.25,0.0
3,12743,ARIN,65.0%,23.0%,175.6,0.0,0.08
4,11902,RIPE,5.0%,92.0%,216.12,1.0,0.07
5,3922,ARIN,14.0%,60.0%,78.15,1.0,0.02
6,166,ARIN,0.0%,12.0%,1.17,0.42,0.0
7,25,RIPE,0.0%,2.0%,0.51,0.9,0.0
8,2245,RIPE,3.0%,92.0%,47.27,1.0,0.01
9,6,RIPE,20.0%,0.0%,0.19,0.42,0.0
10,5,LACNIC,12.0%,0.0%,0.11,0.25,0.0
11,86,APNIC,3.0%,9.0%,1.96,0.63,0.0
12,14,APNIC,0.0%,0.0%,0.53,0.42,0.0
13,2,APNIC,0.0%,33.0%,0.0,0.25,0.0
14,14684,LACNIC,15.0%,74.0%,232.75,1.0,0.06
15,3,RIPE,0.0%,0.0%,0.05,0.19,0.0
16,2,RIPE,0.0%,0.0%,0.03,0.09,0.0
17,5,APNIC,0.0%,0.0%,0.12,0.09,0.0
18,374,RIPE,0.0%,24.0%,5.27,0.8,0.0
19,2,RIPE,0.0%,0.0%,0.03,0.09,0.0
20,3,APNIC,0.0%,0.0%,0.05,0.09,0.0
21,2,RIPE,0.0%,0.0%,0.03,0.09,0.0
22,2,RIPE,0.0%,0.0%,0.03,0.09,0.0
23,3,APNIC,0.0%,0.0%,0.11,0.09,0.0
24,3,APNIC,0.0%,0.0%,0.0,0.25,0.0
25,3,RIPE,0.0%,0.0%,0.05,0.19,0.0
26,53,RIPE,3.0%,12.0%,1.47,0.63,0.0
27,2,RIPE,0.0%,0.0%,0.0,0.09,0.0
28,2,LACNIC,0.0%,33.0%,0.0,0.25,0.0
29,3,LACNIC,0.0%,0.0%,0.05,0.09,0.0
