community,size,direct_ratio,p2p_ratio,influence,log_influence,radius,rich_club,clustering,betweenness,tier1_ratio,tier2_ratio,organization
0,12066,0.0616764626791133,0.712602281894664,199.152684466924,5.299080536601644,4.267276106731222,1.0,0.45454545454545453,0.031773399014778325,8.28775070445881e-05,0.0001657550140891762,APNIC
1,8,0.1,0.0,0.2368193423510798,0.2125493454252485,144.15498364023776,0.1880952380952381,0.0,0.0,0.0,0.0,ARIN
2,6,0.0,0.125,0.1619871155382894,0.1501382840725365,145.87138721061373,0.24836601307189543,1.0,0.0,0.0,0.0,LACNIC
3,12743,0.650716618287373,0.2275489840348331,175.5987853845482,5.1738804545452535,7.710477731496013,0.0,0.225,0.07766830870279146,0.0017264380444165423,0.00031389782625755315,ARIN
4,11902,0.0507554182555389,0.92239465173529,216.1235803185133,5.380466721926347,2.0290264111981813,1.0,0.3939393939393939,0.06974548440065682,0.0,0.0,RIPE
5,3922,0.1430590191188694,0.5968827930174564,78.14764194504282,4.371315092222385,29.78230319791547,1.0,0.7619047619047619,0.023891625615763544,0.0,0.00025497195308516065,ARIN
6,166,0.0,0.1206030150753768,1.174123817706367,0.776629329265733,128.64188584544505,0.4230769230769231,1.0,0.0,0.0,0.0,ARIN
7,25,0.0,0.0188679245283018,0.5135909494122587,0.4144900940522135,138.60129148318782,0.9047619047619048,1.0,0.0,0.0,0.0,RIPE
8,2245,0.031399117099186,0.924264461966368,47.27478655035432,3.876909568374362,43.3792423935261,1.0,0.8571428571428571,0.005090311986863711,0.0,0.0,RIPE
9,6,0.2,0.0,0.1937988549517522,0.1771470725632486,145.1286025184099,0.4230769230769231,1.0,0.0,0.0,0.0,RIPE
10,5,0.125,0.0,0.1085921234755213,0.1030978903013303,147.1650729462959,0.24836601307189543,1.0,0.0,0.0,0.0,LACNIC
11,86,0.0347222222222222,0.0902777777777777,1.962808640273666,1.0861403165352292,120.12984083121826,0.6333333333333333,1.0,0.0,0.0,0.0,APNIC
12,14,0.0,0.0,0.5330700742817827,0.4272773981764374,138.24962025730906,0.4230769230769231,1.0,0.0,0.0,0.0,APNIC
13,2,0.0,0.3333333333333333,2.988601392715288e-05,3.768677355309909e-05,149.9993926560514,0.24836601307189543,1.0,0.0,0.0,0.0,APNIC
14,14684,0.1515469141544207,0.7401100922525874,232.748370020562,5.454245228345921,0.0,1.0,0.2857142857142857,0.05907224958949097,0.0008172160174339417,0.0007491146826477799,LACNIC
15,3,0.0,0.0,0.0465001522224923,0.0454588631543222,148.7502379770429,0.1880952380952381,0.0,0.0,0.0,0.0,RIPE
16,2,0.0,0.0,0.0261276050137822,0.0257997131708055,149.29089590675775,0.09080459770114943,0.0,0.0,0.0,0.0,RIPE
17,5,0.0,0.0,0.1205207240393407,0.1138004717742658,146.87073491303337,0.09080459770114943,0.0,0.0,0.0,0.0,APNIC
18,374,0.0,0.2417061611374407,5.266900975325461,1.8352832150164824,99.52721819020536,0.8035714285714286,1.0,0.0,0.0,0.0,RIPE
19,2,0.0,0.0,0.0261276050137822,0.0257997131708055,149.29089590675775,0.09080459770114943,0.0,0.0,0.0,0.0,RIPE
20,3,0.0,0.0,0.0508810464318828,0.0496363278830297,148.63535104482182,0.09080459770114943,0.0,0.0,0.0,0.0,APNIC
21,2,0.0,0.0,0.0261276050137822,0.0257997131708055,149.29089590675775,0.09080459770114943,0.0,0.0,0.0,0.0,RIPE
22,2,0.0,0.0,0.0261276050137822,0.0257997131708055,149.29089590675775,0.09080459770114943,0.0,0.0,0.0,0.0,RIPE
23,3,0.0,0.0,0.1103990252293913,0.1047264587154566,147.12028472158028,0.09080459770114943,0.0,0.0,0.0,0.0,APNIC
24,3,0.0,0.0,7.998619035635698e-06,1.5799963996986527e-05,149.9999945781667,0.24836601307189543,1.0,0.0,0.0,0.0,APNIC
25,3,0.0,0.0,0.0508651910583014,0.049621240185388,148.63576598053257,0.1880952380952381,0.0,0.0,0.0,0.0,RIPE
26,53,0.0294117647058823,0.1176470588235294,1.4697660748107826,0.9041265983845568,125.13550791842997,0.6333333333333333,1.0,0.0,0.0,0.0,RIPE
27,2,0.0,0.0,7.801469781396112e-06,1.5602817838224556e-05,150.0,0.09080459770114943,0.0,0.0,0.0,0.0,RIPE
28,2,0.0,0.3333333333333333,3.12635274245315e-05,3.906423418883011e-05,149.99935477369047,0.24836601307189543,1.0,0.0,0.0,0.0,LACNIC
29,3,0.0,0.0,0.0508810464318828,0.0496363278830297,148.63535104482182,0.09080459770114943,0.0,0.0,0.0,0.0,LACNIC
