202401,202402,202403,202404,202405,202406,202407,202408,202409,202410
0,2,4,0,8,6,4,15,0,11
2,31,6,7,13,0,14,13,2,13
1,10,0,4,2,14,3,2,4,8
3,"[8, 35]","[2, 12]","[1, 2]",7,7,0,0,6,"[2, 32]"
15,-1,4,0,8,6,4,15,0,-1
10,9,3,3,4,3,8,21,"[1, 7]",5
5,0,1,8,9,11,6,3,8,17
13,23,-1,15,15,7,0,0,6,"[2, 32]"
4,6,-1,1,7,7,0,0,6,"[2, 32]"
14,44,20,14,22,28,17,20,20,-1
16,47,-1,2,15,7,0,0,6,"[2, 32]"
18,53,17,16,19,24,20,24,16,-1
9,25,-1,6,15,7,0,0,6,"[2, 32]"
19,54,18,-1,0,30,26,21,"[1, 7]",5
20,55,19,18,21,26,22,26,17,-1
