202401,202402,202403,202404,202405,202406,202407,202408,202409,202410
13085,22516,16262,17090,12912,13904,11902,14731,14153,19575
7478,0,16262,17090,12912,13904,11902,14731,14153,19575
12732,11773,15678,11505,14105,14384,14684,12904,16440,20360
12256,10892,10952,12373,13115,11502,12743,12112,10503,16936
5,5,5,5,5,5,5,5,5,0
3,3,3,3,3,3,3,3,3,0
2,2,2,2,2,2,2,2,2,0
42,10,0,12775,11925,0,0,0,0,0
10145,7150,8329,12775,0,0,0,0,0,7802
0,1922,2971,39,11925,15438,12066,14707,8564,6940
2,2,0,97,2954,0,0,0,0,0
166,395,0,414,2954,15438,0,0,0,0
3,3,0,39,2954,0,0,0,0,0
2,2,2,0,93,60,53,3102,0,0
2500,2690,3075,3699,3350,2172,2245,3102,2348,24
0,0,0,0,0,0,0,0,5452,0
192,115,112,188,187,165,166,90,189,192
