Community,Size,Organization,Direct Ratio,P2p Ratio,Influence,Rich Club,Betweenness
0,14707,APNIC,11.0%,60.0%,255.2,1.0,0.06
1,2,RIPE,33.0%,0.0%,0.0,0.3,0.0
2,12112,ARIN,66.0%,23.0%,164.11,1.0,0.13
3,90,ARIN,0.0%,22.0%,0.39,0.3,0.0
4,8,ARIN,10.0%,0.0%,0.24,0.16,0.0
5,27,RIPE,19.0%,10.0%,0.62,0.86,0.0
6,44,RIPE,13.0%,10.0%,1.22,0.86,0.0
7,10,AFRINIC,8.0%,0.0%,0.22,0.3,0.0
8,7,LACNIC,11.0%,6.0%,0.18,0.52,0.0
9,6,RIPE,20.0%,0.0%,0.19,0.3,0.0
10,10,ARIN,7.0%,13.0%,0.28,0.3,0.0
11,2,RIPE,33.0%,0.0%,0.0,0.21,0.0
12,2,RIPE,0.0%,0.0%,0.0,0.21,0.0
13,12904,LACNIC,16.0%,74.0%,192.21,1.0,0.02
14,2,RIPE,33.0%,0.0%,0.0,0.21,0.0
15,14731,RIPE,7.0%,87.0%,262.53,1.0,0.15
16,3,RIPE,0.0%,43.0%,0.03,0.52,0.0
17,10,ARIN,0.0%,13.0%,0.18,0.21,0.0
18,3,RIPE,0.0%,0.0%,0.05,0.16,0.0
19,2,RIPE,0.0%,0.0%,0.03,0.1,0.0
20,5,APNIC,0.0%,0.0%,0.12,0.1,0.0
21,3102,RIPE,4.0%,90.0%,61.82,1.0,0.0
22,386,RIPE,0.0%,24.0%,5.83,0.68,0.0
23,95,APNIC,4.0%,13.0%,2.2,0.77,0.0
24,3,APNIC,0.0%,0.0%,0.05,0.1,0.0
25,2,RIPE,0.0%,0.0%,0.03,0.1,0.0
26,2,RIPE,0.0%,0.0%,0.03,0.1,0.0
27,3,RIPE,0.0%,0.0%,0.05,0.16,0.0
28,3,LACNIC,0.0%,0.0%,0.05,0.1,0.0
