community,size,direct_ratio,p2p_ratio,influence,log_influence,radius,rich_club,clustering,betweenness,tier1_ratio,tier2_ratio,organization
0,14707,0.1054742510787395,0.5951938351302937,255.19596548376185,5.545942672671232,0.7595389456400092,1.0,0.34065934065934067,0.06194885361552028,6.799483239273815e-05,0.00020398449717821447,APNIC
1,2,0.3333333333333333,0.0,8.860489467676475e-06,1.676627272700745e-05,149.99997431313082,0.3,1.0,0.0,0.0,0.0,RIPE
2,12112,0.664676323707311,0.2316138838053289,164.1065238938469,5.106590912831391,12.582460676765578,1.0,0.19473684210526315,0.1335978835978836,0.0018163804491413474,0.00041281373844121534,ARIN
3,90,0.0,0.219047619047619,0.3917307195031446,0.3305537751915767,141.10524907722308,0.3,1.0,0.0,0.0,0.0,ARIN
4,8,0.1,0.0,0.236822474856584,0.2125519625697033,144.28066868921672,0.16403162055335968,0.0,0.0,0.0,0.0,ARIN
5,27,0.1896551724137931,0.1034482758620689,0.6150799023051171,0.4793893256169929,137.10009597591275,0.8571428571428571,1.0,0.0,0.0,0.0,RIPE
6,44,0.1339285714285714,0.0982142857142857,1.2220920143560567,0.7984526588291843,128.51412646206606,0.8571428571428571,1.0,0.0,0.0,0.0,RIPE
7,10,0.0769230769230769,0.0,0.2196347278942644,0.1985578927348783,144.65724802149788,0.3,1.0,0.0,0.0,0.0,AFRINIC
8,7,0.1111111111111111,0.0555555555555555,0.1834070783590615,0.1684043132411989,145.4686785035267,0.5181818181818182,1.0,0.0,0.0,0.0,LACNIC
9,6,0.2,0.0,0.1938080052598532,0.1771548248455893,145.2332029159389,0.3,1.0,0.0,0.0,0.0,RIPE
10,10,0.0666666666666666,0.1333333333333333,0.2793565737309587,0.246363454364745,143.37080407128258,0.3,1.0,0.0,0.0,0.0,ARIN
11,2,0.3333333333333333,0.0,7.905923813979768e-06,1.581172262194402e-05,150.0,0.21052631578947367,1.0,0.0,0.0,0.0,RIPE
12,2,0.0,0.0,1.152841426182702e-05,1.943414923141741e-05,149.9999025207813,0.21052631578947367,1.0,0.0,0.0,0.0,RIPE
13,12904,0.1645584017808541,0.7433603873682842,192.2143476497804,5.263800223136555,8.35197034751381,1.0,0.5777777777777777,0.01829805996472663,0.0009299442033477991,0.0007749535027898327,LACNIC
14,2,0.3333333333333333,0.0,8.131054537653189e-06,1.6036849760767493e-05,149.99999394184618,0.21052631578947367,1.0,0.0,0.0,0.0,RIPE
15,14731,0.0711199373727035,0.8711294263570095,262.5301756591454,5.574167910055262,0.0,1.0,0.2222222222222222,0.15123456790123457,0.0,0.0,RIPE
16,3,0.0,0.4285714285714285,0.0298704829338422,0.0294407262006062,149.20817783694528,0.5181818181818182,1.0,0.0,0.0,0.0,RIPE
17,10,0.0,0.1333333333333333,0.180801091326377,0.1661997944574935,145.52800193276263,0.21052631578947367,1.0,0.0,0.0,0.0,ARIN
18,3,0.0,0.0,0.0465088531927005,0.0454672772205174,148.7769045938442,0.16403162055335968,0.0,0.0,0.0,0.0,RIPE
19,2,0.0,0.0,0.0261283580900928,0.0258005488597208,149.30613472644174,0.1022167487684729,0.0,0.0,0.0,0.0,RIPE
20,5,0.0,0.0,0.1205243694386002,0.1138038182727549,146.93797358209412,0.1022167487684729,0.0,0.0,0.0,0.0,APNIC
21,3102,0.0374600775288295,0.8971158300216984,61.82171314332758,4.140300890253074,38.58525012883373,1.0,0.8571428571428571,0.0013227513227513227,0.0,0.0,RIPE
22,386,0.001531393568147,0.2388973966309341,5.82589639929078,1.9207248312263565,98.31386947411436,0.6805555555555556,1.0,0.0,0.0,0.0,RIPE
23,95,0.0368098159509202,0.1349693251533742,2.1980579107249314,1.162546194765572,118.71639769058264,0.7678571428571429,1.0,0.0,0.0,0.0,APNIC
24,3,0.0,0.0,0.0508813754904981,0.0496367404029259,148.66470466346405,0.1022167487684729,0.0,0.0,0.0,0.0,APNIC
25,2,0.0,0.0,0.0261283580900928,0.0258005488597208,149.30613472644174,0.1022167487684729,0.0,0.0,0.0,0.0,RIPE
26,2,0.0,0.0,0.0261283580900928,0.0258005488597208,149.30613472644174,0.1022167487684729,0.0,0.0,0.0,0.0,RIPE
27,3,0.0,0.0,0.0508644415306467,0.0496206263397333,148.66513829165294,0.16403162055335968,0.0,0.0,0.0,0.0,RIPE
28,3,0.0,0.0,0.0508813754904981,0.0496367404029259,148.66470466346405,0.1022167487684729,0.0,0.0,0.0,0.0,LACNIC
