community,size,direct_ratio,p2p_ratio,influence,log_influence,radius,rich_club,clustering,betweenness,tier1_ratio,tier2_ratio,organization,x_mds,y_mds,angle,distance
0,14707,0.11,0.6,255.2,5.545942672671232,0.76,1.0,0.34,0.06,0.0,0.0,APNIC,-1.29,-5.17,255.98,5.33
1,2,0.33,0.0,0.0,1.676627272700745e-05,150.0,0.3,1.0,0.0,0.0,0.0,RIPE,-0.97,2.32,112.64,2.51
2,12112,0.66,0.23,164.11,5.106590912831391,12.58,1.0,0.19,0.13,0.0,0.0,ARIN,2.45,-5.84,292.76,6.33
3,90,0.0,0.22,0.39,0.3305537751915767,141.11,0.3,1.0,0.0,0.0,0.0,ARIN,-0.25,0.46,118.06,0.52
4,8,0.1,0.0,0.24,0.2125519625697033,144.28,0.16,0.0,0.0,0.0,0.0,ARIN,1.59,1.27,38.56,2.03
5,27,0.19,0.1,0.62,0.4793893256169929,137.1,0.86,1.0,0.0,0.0,0.0,RIPE,-1.82,0.86,154.8,2.01
6,44,0.13,0.1,1.22,0.7984526588291843,128.51,0.86,1.0,0.0,0.0,0.0,RIPE,-1.68,0.6,160.38,1.78
7,10,0.08,0.0,0.22,0.1985578927348783,144.66,0.3,1.0,0.0,0.0,0.0,AFRINIC,-0.28,1.27,102.64,1.3
8,7,0.11,0.06,0.18,0.1684043132411989,145.47,0.52,1.0,0.0,0.0,0.0,LACNIC,-0.82,1.01,128.83,1.3
9,6,0.2,0.0,0.19,0.1771548248455893,145.23,0.3,1.0,0.0,0.0,0.0,RIPE,-0.59,1.73,108.77,1.83
10,10,0.07,0.13,0.28,0.246363454364745,143.37,0.3,1.0,0.0,0.0,0.0,ARIN,-0.35,0.94,110.4,1.0
11,2,0.33,0.0,0.0,1.581172262194402e-05,150.0,0.21,1.0,0.0,0.0,0.0,RIPE,-0.78,2.45,107.7,2.57
12,2,0.0,0.0,0.0,1.943414923141741e-05,150.0,0.21,1.0,0.0,0.0,0.0,RIPE,0.07,1.23,86.86,1.23
13,12904,0.16,0.74,192.21,5.263800223136555,8.35,1.0,0.58,0.02,0.0,0.0,LACNIC,-2.13,-4.18,243.04,4.69
14,2,0.33,0.0,0.0,1.6036849760767493e-05,150.0,0.21,1.0,0.0,0.0,0.0,RIPE,-0.78,2.45,107.7,2.57
15,14731,0.07,0.87,262.53,5.574167910055262,0.0,1.0,0.22,0.15,0.0,0.0,RIPE,-0.91,-6.82,262.37,6.88
16,3,0.0,0.43,0.03,0.0294407262006062,149.21,0.52,1.0,0.0,0.0,0.0,RIPE,-0.68,-0.25,199.89,0.72
17,10,0.0,0.13,0.18,0.1661997944574935,145.53,0.21,1.0,0.0,0.0,0.0,ARIN,-0.05,0.79,93.6,0.79
18,3,0.0,0.0,0.05,0.0454672772205174,148.78,0.16,0.0,0.0,0.0,0.0,RIPE,1.79,0.77,23.24,1.95
19,2,0.0,0.0,0.03,0.0258005488597208,149.31,0.1,0.0,0.0,0.0,0.0,RIPE,1.87,0.89,25.29,2.07
20,5,0.0,0.0,0.12,0.1138038182727549,146.94,0.1,0.0,0.0,0.0,0.0,APNIC,1.87,0.86,24.6,2.06
21,3102,0.04,0.9,61.82,4.140300890253074,38.59,1.0,0.86,0.0,0.0,0.0,RIPE,-3.06,-2.06,213.93,3.69
22,386,0.0,0.24,5.83,1.9207248312263565,98.31,0.68,1.0,0.0,0.0,0.0,RIPE,-1.17,-0.17,187.99,1.18
23,95,0.04,0.13,2.2,1.162546194765572,118.72,0.77,1.0,0.0,0.0,0.0,APNIC,-1.31,0.27,168.17,1.34
24,3,0.0,0.0,0.05,0.0496367404029259,148.66,0.1,0.0,0.0,0.0,0.0,APNIC,1.87,0.88,25.1,2.07
25,2,0.0,0.0,0.03,0.0258005488597208,149.31,0.1,0.0,0.0,0.0,0.0,RIPE,1.87,0.89,25.29,2.07
26,2,0.0,0.0,0.03,0.0258005488597208,149.31,0.1,0.0,0.0,0.0,0.0,RIPE,1.87,0.89,25.29,2.07
27,3,0.0,0.0,0.05,0.0496206263397333,148.67,0.16,0.0,0.0,0.0,0.0,RIPE,1.79,0.77,23.24,1.95
28,3,0.0,0.0,0.05,0.0496367404029259,148.66,0.1,0.0,0.0,0.0,0.0,LACNIC,1.87,0.88,25.1,2.07
