community,size,direct_ratio,p2p_ratio,influence,log_influence,radius,rich_club,clustering,betweenness,tier1_ratio,tier2_ratio,organization,x_mds,y_mds,angle,distance
0,66,0.13,0.08,1.34,0.8513444282409738,127.7,0.66,1.0,0.0,0.0,0.0,ARIN,-0.15,0.86,99.72,0.87
1,6,0.12,0.12,0.1,0.0998486439044851,147.38,0.19,1.0,0.0,0.0,0.0,RIPE,1.28,0.84,33.38,1.53
2,7802,0.09,0.65,137.07,4.927738921116842,20.92,1.0,0.43,0.04,0.0,0.0,APNIC,-4.06,-0.99,193.76,4.18
3,4,0.0,0.0,0.07,0.0692270098647462,148.19,0.1,0.0,0.0,0.0,0.0,APNIC,1.49,-1.82,309.33,2.35
4,14,0.05,0.05,0.27,0.2391248640429867,143.74,0.19,1.0,0.0,0.0,0.0,RIPE,1.33,0.38,15.8,1.38
5,24,0.04,0.0,0.52,0.4180650729751418,139.05,0.28,1.0,0.0,0.0,0.0,RIPE,1.13,0.25,12.59,1.16
6,63,0.09,0.2,1.31,0.8367237700636273,128.08,0.66,1.0,0.0,0.0,0.0,RIPE,-0.23,0.73,107.66,0.77
7,238,0.06,0.11,5.79,1.9159104717100888,99.81,0.98,1.0,0.0,0.0,0.0,RIPE,-1.28,0.76,149.41,1.49
8,16936,0.59,0.2,172.27,5.154862635283356,14.97,1.0,0.14,0.16,0.0,0.0,ARIN,-6.9,2.42,160.69,7.31
9,35,0.06,0.06,0.84,0.6115579924722999,133.98,0.48,1.0,0.0,0.0,0.0,RIPE,0.5,0.4,39.0,0.64
10,128,0.11,0.12,1.91,1.0669576873608833,122.05,0.91,1.0,0.0,0.0,0.0,RIPE,-0.89,1.01,131.41,1.35
11,19575,0.05,0.88,305.87,5.726422508819727,0.0,0.0,0.11,0.28,0.0,0.0,RIPE,-7.22,-5.49,217.24,9.07
12,9,0.24,0.06,0.19,0.1715885207584414,145.51,0.28,1.0,0.0,0.0,0.0,RIPE,1.35,1.59,49.57,2.09
13,20360,0.09,0.68,282.87,5.648506647467004,2.04,1.0,0.26,0.07,0.0,0.0,LACNIC,-6.73,-1.58,193.2,6.91
14,55,0.07,0.22,1.21,0.7909318164900211,129.28,0.66,1.0,0.0,0.0,0.0,RIPE,-0.25,0.66,110.32,0.71
