community,size,direct_ratio,p2p_ratio,influence,log_influence,radius,rich_club,clustering,betweenness,tier1_ratio,tier2_ratio,organization,x_mds,y_mds,angle,distance
15,3,0.0,0.0,0.06,0.0616813256257068,148.38,0.1,0.0,0.0,0.0,0.0,RIPE,1.5,-1.82,309.4,2.36
16,15,0.03,0.03,0.33,0.2856803973439457,142.52,0.61,1.0,0.0,0.0,0.0,APNIC,0.22,0.26,49.79,0.34
17,192,0.0,0.15,1.59,0.9508529338824016,125.09,0.15,1.0,0.0,0.0,0.0,ARIN,1.45,0.32,12.45,1.48
18,7,0.0,0.0,0.14,0.1297736537887869,146.6,0.1,0.0,0.0,0.0,0.0,RIPE,1.47,-1.83,308.78,2.35
19,4,0.0,0.0,0.1,0.0993623663073513,147.4,0.1,0.0,0.0,0.0,0.0,RIPE,1.48,-1.82,309.06,2.35
20,3405,0.04,0.9,57.16,4.063197592222051,43.57,1.0,0.61,0.03,0.0,0.0,RIPE,-3.74,-0.26,184.01,3.75
21,3,0.0,0.0,0.07,0.0637095803264307,148.33,0.28,1.0,0.0,0.0,0.0,ARIN,1.29,0.1,4.31,1.29
22,4,0.0,0.25,0.05,0.0527066006345183,148.62,0.1,0.0,0.0,0.0,0.0,RIPE,0.66,-1.97,288.4,2.08
23,8,0.09,0.0,0.25,0.2236587172150194,144.14,0.1,0.0,0.0,0.0,0.0,ARIN,1.04,-1.81,299.72,2.09
24,6,0.0,0.13,0.13,0.1223508238475319,146.8,0.15,1.0,0.0,0.0,0.0,APNIC,1.61,0.29,10.33,1.64
25,22,0.09,0.43,0.42,0.3520961513975533,140.78,0.48,1.0,0.0,0.0,0.0,RIPE,0.02,1.41,89.18,1.41
26,3,0.2,0.5,0.0,3.010278942721717e-05,150.0,0.28,1.0,0.0,0.0,0.0,APNIC,0.32,2.16,81.61,2.18
27,22,0.03,0.0,0.23,0.2091263092572824,144.52,0.36,1.0,0.0,0.0,0.0,RIPE,0.97,0.22,12.69,0.99
28,4,0.0,0.0,0.07,0.0690461300257862,148.19,0.1,0.0,0.0,0.0,0.0,RIPE,1.49,-1.82,309.33,2.35
29,4,0.36,0.0,0.07,0.0689848628086595,148.19,0.19,1.0,0.0,0.0,0.0,RIPE,1.63,2.52,57.16,3.0
30,5,0.1,0.4,0.03,0.0319006131857189,149.16,0.19,1.0,0.0,0.0,0.0,RIPE,0.86,1.48,59.86,1.71
31,510,0.0,0.24,6.48,2.012393827146297,97.29,0.45,1.0,0.0,0.0,0.0,RIPE,-0.33,-0.08,193.34,0.34
32,6940,0.49,0.56,92.24,4.535190141178256,31.2,1.0,0.33,0.03,0.0,0.0,RIPE,-4.29,2.5,149.82,4.97
33,134,0.01,0.02,2.92,1.3657224607647425,114.23,0.66,1.0,0.0,0.0,0.0,APNIC,-0.25,0.13,152.4,0.28
34,5,0.14,0.0,0.0,1.333419148579686e-05,150.0,0.15,1.0,0.0,0.0,0.0,ARIN,1.67,0.85,26.99,1.87
35,3,0.0,0.0,0.06,0.0616529714981583,148.39,0.1,0.0,0.0,0.0,0.0,ARIN,1.5,-1.82,309.4,2.36
36,19,0.0,0.0,0.46,0.3767178235390379,140.13,0.1,0.0,0.0,0.0,0.0,AFRINIC,1.37,-1.85,306.49,2.3
37,27,0.1,0.04,0.53,0.4239536188365563,138.9,0.36,1.0,0.0,0.0,0.0,RIPE,0.85,0.59,34.49,1.03
38,33,0.07,0.29,0.75,0.561920019270206,135.28,0.48,1.0,0.0,0.0,0.0,AFRINIC,0.22,0.87,75.88,0.9
39,2,0.0,0.0,0.0,1.4360315943397044e-05,150.0,0.15,1.0,0.0,0.0,0.0,RIPE,1.73,0.13,4.33,1.73
40,45,0.0,0.0,0.4,0.3339882894487249,141.25,0.19,1.0,0.0,0.0,0.0,RIPE,1.52,0.1,3.72,1.52
41,25,0.07,0.02,0.39,0.3325757432373867,141.29,0.36,1.0,0.0,0.0,0.0,APNIC,0.89,0.41,24.81,0.98
42,24,0.0,0.0,0.43,0.3574586118352295,140.64,0.19,1.0,0.0,0.0,0.0,RIPE,1.51,0.1,3.68,1.51
43,2,0.25,0.5,0.0,1.219595613053477e-05,150.0,0.19,1.0,0.0,0.0,0.0,RIPE,0.45,2.47,79.58,2.51
44,3,0.0,0.0,0.0,1.3251002926217656e-05,150.0,0.1,0.0,0.0,0.0,0.0,RIPE,1.52,-1.82,309.95,2.37
