community,size,direct_ratio,p2p_ratio,influence,log_influence,radius,rich_club,clustering,betweenness,tier1_ratio,tier2_ratio,organization
0,66,0.1274509803921568,0.0833333333333333,1.3427883566012448,0.8513444282409738,127.69984547634208,0.6590909090909091,1.0,0.0,0.0,0.0,ARIN
1,6,0.125,0.125,0.1049975583637183,0.0998486439044851,147.3848420958217,0.1870967741935484,1.0,0.0,0.0,0.0,RIPE
2,7802,0.091281588801537,0.6527927539357343,137.06697271336444,4.927738921116842,20.921053785879216,1.0,0.43333333333333335,0.03659267089499648,0.0,0.0001281722635221738,APNIC
3,4,0.0,0.0,0.071673365331525,0.0692270098647462,148.1869580559098,0.09696969696969697,0.0,0.0,0.0,0.0,APNIC
4,14,0.0476190476190476,0.0476190476190476,0.2701310231237185,0.2391248640429867,143.73658221234018,0.1870967741935484,1.0,0.0,0.0,0.0,RIPE
5,24,0.0363636363636363,0.0,0.5190134202902753,0.4180650729751418,139.04934712554794,0.27717391304347827,1.0,0.0,0.0,0.0,RIPE
6,63,0.0903614457831325,0.2048192771084337,1.3087843459417188,0.8367237700636273,128.082825145416,0.6590909090909091,1.0,0.0,0.0,0.0,RIPE
7,238,0.0563106796116504,0.1106796116504854,5.793114828656865,1.9159104717100888,99.81415482618785,0.9761904761904762,1.0,0.0,0.0,0.0,RIPE
8,16936,0.5872652501713502,0.1983413296778615,172.27199756636898,5.154862635283356,14.971679699211554,1.0,0.14126984126984127,0.15639534883720932,0.0012990080302314596,0.00011809163911195088,ARIN
9,35,0.0632911392405063,0.0632911392405063,0.8432949138688182,0.6115579924722999,133.9809122180151,0.48333333333333334,1.0,0.0,0.0,0.0,RIPE
10,128,0.1082089552238805,0.1231343283582089,1.9065173842791023,1.0669576873608833,122.05198108993328,0.9107142857142857,1.0,0.0,0.0,0.0,RIPE
11,19575,0.0528668145312751,0.8846812563721895,305.86947335353693,5.726422508819727,0.0,0.0,0.11153846153846154,0.2821441155743481,0.0,0.0002554278416347382,RIPE
