community,size,direct_ratio,p2p_ratio,influence,log_influence,radius,rich_club,clustering,betweenness,tier1_ratio,tier2_ratio,organization,x_mds,y_mds,angle,distance
0,10952,0.72,0.24,142.13,4.96375883253204,18.6,1.0,0.47,0.07,0.0,0.0,ARIN,-1.58,5.0,107.51,5.24
1,112,0.04,0.55,1.05,0.7167872842905273,131.03,0.58,1.0,0.0,0.0,0.0,ARIN,-0.64,-0.27,203.18,0.69
2,8329,0.09,0.71,142.89,4.969074681505491,18.46,1.0,0.64,0.03,0.0,0.0,APNIC,0.6,2.56,76.79,2.63
3,3075,0.04,0.89,61.9,4.141581851099068,40.36,1.0,0.73,0.01,0.0,0.0,RIPE,-0.5,1.96,104.39,2.02
4,16262,0.07,0.87,287.95,5.666252049169054,0.0,1.0,0.42,0.12,0.0,0.0,RIPE,3.02,4.67,57.1,5.56
5,381,0.05,0.03,8.92,2.294691634553084,89.25,0.93,1.0,0.0,0.0,0.0,APNIC,-1.77,-0.23,187.39,1.78
6,15678,0.1,0.74,258.62,5.559201145391696,2.83,1.0,0.47,0.12,0.0,0.0,LACNIC,2.66,4.46,59.18,5.19
7,811,0.09,0.85,13.06,2.6431455143495226,80.03,0.93,1.0,0.0,0.0,0.0,AFRINIC,-1.95,1.16,149.22,2.27
8,5,0.0,0.17,0.11,0.1007980417052491,147.33,0.45,1.0,0.0,0.0,0.0,LACNIC,-0.95,-1.51,237.84,1.78
9,4,0.0,0.0,0.1,0.0945872800847529,147.5,0.45,1.0,0.0,0.0,0.0,LACNIC,-1.08,-1.78,238.76,2.08
10,15,0.24,0.17,0.47,0.3878321460156238,139.73,0.58,1.0,0.0,0.0,0.0,RIPE,-1.94,-1.14,210.53,2.25
11,33,0.03,0.04,0.74,0.5520106304062655,135.39,0.74,1.0,0.0,0.0,0.0,RIPE,-1.33,-1.03,217.59,1.68
12,2971,0.2,0.13,51.78,3.966074155510411,45.01,1.0,0.89,0.0,0.0,0.0,APNIC,-1.26,1.08,139.29,1.66
13,2,0.0,0.5,0.0,3.83914561985452e-05,150.0,0.31,0.0,0.0,0.0,0.0,RIPE,1.6,-1.12,325.11,1.95
14,96,0.03,0.06,2.68,1.3029626512906465,115.51,0.83,1.0,0.0,0.0,0.0,RIPE,-1.47,-0.64,203.51,1.6
15,2,0.0,0.0,0.0,1.6532314432214217e-05,150.0,0.31,0.0,0.0,0.0,0.0,RIPE,1.01,-2.07,295.9,2.3
16,2,0.0,0.0,0.0,1.6373763982634243e-05,150.0,0.31,0.0,0.0,0.0,0.0,RIPE,1.01,-2.07,295.9,2.3
17,3,0.0,0.0,0.05,0.0498850163809186,148.68,0.2,0.0,0.0,0.0,0.0,APNIC,1.14,-2.26,296.84,2.53
18,2,0.0,0.0,0.04,0.0439188364422347,148.84,0.2,0.0,0.0,0.0,0.0,RIPE,1.14,-2.26,296.8,2.53
19,2,0.0,0.0,0.03,0.0259309660890753,149.31,0.2,0.0,0.0,0.0,0.0,RIPE,1.14,-2.27,296.69,2.54
20,5,0.0,0.0,0.12,0.1143532735462791,146.97,0.2,0.0,0.0,0.0,0.0,APNIC,1.15,-2.24,297.29,2.52
