Community,Size,Organization,Direct Ratio,P2p Ratio,Influence,Rich Club,Betweenness
0,13085,RIPE,7.0%,89.0%,227.43,1.0,0.06
1,12256,ARIN,67.0%,23.0%,164.72,0.0,0.1
2,12732,LACNIC,10.0%,76.0%,206.7,1.0,0.01
3,10145,APNIC,8.0%,68.0%,179.1,1.0,0.03
4,42,AFRINIC,11.0%,3.0%,1.11,0.79,0.0
5,192,ARIN,3.0%,14.0%,1.89,0.55,0.0
6,21,RIPE,10.0%,2.0%,0.7,0.62,0.0
7,9,RIPE,17.0%,0.0%,0.26,0.62,0.0
8,8,ARIN,10.0%,0.0%,0.24,0.32,0.0
9,2,APNIC,0.0%,0.0%,0.03,0.16,0.0
10,2500,RIPE,3.0%,92.0%,53.35,1.0,0.03
11,4,LACNIC,0.0%,0.0%,0.05,0.42,0.0
12,10,ARIN,0.0%,6.0%,0.18,0.42,0.0
13,166,RIPE,0.0%,24.0%,2.81,0.79,0.0
14,5,APNIC,0.0%,0.0%,0.12,0.16,0.0
15,7478,RIPE,14.0%,69.0%,129.13,1.0,0.04
16,3,RIPE,0.0%,0.0%,0.1,0.16,0.0
17,3,RIPE,0.0%,67.0%,0.0,0.32,0.0
18,3,APNIC,0.0%,0.0%,0.05,0.16,0.0
19,2,RIPE,0.0%,0.0%,0.04,0.16,0.0
20,2,RIPE,0.0%,0.0%,0.03,0.16,0.0
