community,size,direct_ratio,p2p_ratio,influence,log_influence,radius,rich_club,clustering,betweenness,tier1_ratio,tier2_ratio,organization
0,17090,0.0796660036466103,0.8496325763854357,297.24803933011475,5.697925584540976,0.0,1.0,0.5333333333333333,0.03849206349206349,0.00023405500292568755,0.00017554125219426564,RIPE
1,12775,0.0775896482226138,0.6997186170368135,216.0391283749956,5.380077786357267,8.367546336338695,0.0,0.4909090909090909,0.06825396825396825,7.827788649706458e-05,0.00023483365949119374,APNIC
2,39,0.0454545454545454,0.106060606060606,1.008588211934704,0.6974465702866564,131.64080448176867,0.6222222222222222,1.0,0.0,0.0,0.0,RIPE
3,3699,0.0511296797118498,0.8800586972603902,71.74682092091952,4.286985606141113,37.14389627525411,1.0,0.8571428571428571,0.0020562770562770564,0.0002703433360367667,0.0005406866720735334,RIPE
4,12373,0.6552397141687916,0.2383763024522303,165.65670608986008,5.11593621899049,15.321241837533217,1.0,0.4090909090909091,0.05256132756132756,0.001858886284652065,0.0003232845712438374,ARIN
5,8,0.1,0.0,0.2368206599792078,0.2125676137357103,144.4055527658219,0.35714285714285715,0.0,0.0,0.0,0.0,ARIN
6,97,0.0335570469798657,0.0738255033557047,2.034168958858842,1.1099471515875723,120.78146316329553,0.7083333333333334,1.0,0.0,0.0,0.0,APNIC
7,11505,0.0966866079590192,0.7735019141830556,172.44496671350493,5.155860521989443,14.270209056438771,1.0,0.5777777777777777,0.020454545454545454,0.0005215123859191656,0.0005215123859191656,LACNIC
8,188,0.0251046025104602,0.1380753138075313,1.9329743889369515,1.07602697230871,121.6744335518736,0.5454545454545454,1.0,0.0,0.0,0.0,ARIN
9,648,0.0946767360471541,0.8626818935347209,9.460155582098162,2.3475761124855787,88.20009013920648,1.0,1.0,0.0,0.0,0.0,AFRINIC
10,31,0.1447368421052631,0.0789473684210526,0.9989347409175572,0.6926289561587962,131.76763125129742,0.8035714285714286,1.0,0.0,0.0,0.0,RIPE
11,2,0.0,0.0,0.0261279597079872,0.0258207940014313,149.32178209388323,0.12845849802371542,0.0,0.0,0.0,0.0,RIPE
12,7,0.0,0.0,0.0931334515378303,0.0890748992631082,147.65657736455927,0.35714285714285715,0.0,0.0,0.0,0.0,AFRINIC
13,2,0.0,0.0,0.0261279597079872,0.0258207940014313,149.32178209388323,0.12845849802371542,0.0,0.0,0.0,0.0,AFRINIC
14,5,0.0,0.0,0.1205225700519649,0.1138211076563708,147.00511762010748,0.12845849802371542,0.0,0.0,0.0,0.0,APNIC
15,414,0.0014025245441795,0.2230014025245441,6.353832326961108,1.9952255365975191,97.47594413985276,0.9047619047619048,1.0,0.0,0.0,0.0,RIPE
16,3,0.0,0.0,0.0508811717533807,0.0496566939037618,148.69428680198317,0.12845849802371542,0.0,0.0,0.0,0.0,APNIC
17,2,0.0,0.0,0.0261279597079872,0.0258207940014313,149.32178209388323,0.12845849802371542,0.0,0.0,0.0,0.0,RIPE
18,2,0.0,0.0,0.0261279597079872,0.0258207940014313,149.32178209388323,0.12845849802371542,0.0,0.0,0.0,0.0,RIPE
19,5,0.25,0.125,0.137458614224988,0.1288220524572105,146.61020816524527,0.4772727272727273,1.0,0.0,0.0,0.0,APNIC
20,2,0.0,0.0,0.087855843801078,0.0842353731626921,147.7839809807635,0.12845849802371542,0.0,0.0,0.0,0.0,RIPE
21,3,0.0,0.0,0.0919541592366617,0.0879955274127348,147.68499251805017,0.12845849802371542,0.0,0.0,0.0,0.0,RIPE
22,2,0.0,1.0,2.907879028938059e-05,5.815588949217598e-05,150.0,0.12845849802371542,0.0,0.0,0.0,0.0,RIPE
