Community,Size,Organization,Direct Ratio,P2p Ratio,Influence,Rich Club,Betweenness
0,17090,RIPE,8.0%,85.0%,297.25,1.0,0.04
1,12775,APNIC,8.0%,70.0%,216.04,0.0,0.07
2,39,RIPE,5.0%,11.0%,1.01,0.62,0.0
3,3699,RIPE,5.0%,88.0%,71.75,1.0,0.0
4,12373,ARIN,66.0%,24.0%,165.66,1.0,0.05
5,8,ARIN,10.0%,0.0%,0.24,0.36,0.0
6,97,APNIC,3.0%,7.0%,2.03,0.71,0.0
7,11505,LACNIC,10.0%,77.0%,172.44,1.0,0.02
8,188,ARIN,3.0%,14.0%,1.93,0.55,0.0
9,648,AFRINIC,9.0%,86.0%,9.46,1.0,0.0
10,31,RIPE,14.0%,8.0%,1.0,0.8,0.0
11,2,RIPE,0.0%,0.0%,0.03,0.13,0.0
12,7,AFRINIC,0.0%,0.0%,0.09,0.36,0.0
13,2,AFRINIC,0.0%,0.0%,0.03,0.13,0.0
14,5,APNIC,0.0%,0.0%,0.12,0.13,0.0
15,414,RIPE,0.0%,22.0%,6.35,0.9,0.0
16,3,APNIC,0.0%,0.0%,0.05,0.13,0.0
17,2,RIPE,0.0%,0.0%,0.03,0.13,0.0
18,2,RIPE,0.0%,0.0%,0.03,0.13,0.0
19,5,APNIC,25.0%,12.0%,0.14,0.48,0.0
20,2,RIPE,0.0%,0.0%,0.09,0.13,0.0
21,3,RIPE,0.0%,0.0%,0.09,0.13,0.0
22,2,RIPE,0.0%,100.0%,0.0,0.13,0.0
