community,size,direct_ratio,p2p_ratio,influence,log_influence,radius,rich_club,clustering,betweenness,tier1_ratio,tier2_ratio,organization,x_mds,y_mds,angle,distance
0,17090,0.08,0.85,297.25,5.697925584540976,0.0,1.0,0.53,0.04,0.0,0.0,RIPE,-1.08,5.31,101.52,5.42
1,12775,0.08,0.7,216.04,5.380077786357267,8.37,0.0,0.49,0.07,0.0,0.0,APNIC,1.29,5.0,75.53,5.16
2,39,0.05,0.11,1.01,0.6974465702866564,131.64,0.62,1.0,0.0,0.0,0.0,RIPE,-0.94,-1.28,233.46,1.59
3,3699,0.05,0.88,71.75,4.286985606141113,37.14,1.0,0.86,0.0,0.0,0.0,RIPE,-2.25,1.23,151.29,2.56
4,12373,0.66,0.24,165.66,5.11593621899049,15.32,1.0,0.41,0.05,0.0,0.0,ARIN,-4.28,4.14,135.92,5.95
5,8,0.1,0.0,0.24,0.2125676137357103,144.41,0.36,0.0,0.0,0.0,0.0,ARIN,0.97,-0.96,315.28,1.36
6,97,0.03,0.07,2.03,1.1099471515875723,120.78,0.71,1.0,0.0,0.0,0.0,APNIC,-1.11,-1.14,225.7,1.59
7,11505,0.1,0.77,172.44,5.155860521989443,14.27,1.0,0.58,0.02,0.0,0.0,LACNIC,-1.41,3.22,113.61,3.52
8,188,0.03,0.14,1.93,1.07602697230871,121.67,0.55,1.0,0.0,0.0,0.0,ARIN,-0.85,-1.07,231.46,1.37
9,648,0.09,0.86,9.46,2.3475761124855787,88.2,1.0,1.0,0.0,0.0,0.0,AFRINIC,-2.52,0.09,177.87,2.52
10,31,0.14,0.08,1.0,0.6926289561587962,131.77,0.8,1.0,0.0,0.0,0.0,RIPE,-1.47,-1.47,225.07,2.08
11,2,0.0,0.0,0.03,0.0258207940014313,149.32,0.13,0.0,0.0,0.0,0.0,RIPE,1.64,-1.24,322.99,2.06
12,7,0.0,0.0,0.09,0.0890748992631082,147.66,0.36,0.0,0.0,0.0,0.0,AFRINIC,1.16,-1.37,310.18,1.8
13,2,0.0,0.0,0.03,0.0258207940014313,149.32,0.13,0.0,0.0,0.0,0.0,AFRINIC,1.64,-1.24,322.99,2.06
14,5,0.0,0.0,0.12,0.1138211076563708,147.01,0.13,0.0,0.0,0.0,0.0,APNIC,1.62,-1.23,322.79,2.03
15,414,0.0,0.22,6.35,1.9952255365975191,97.48,0.9,1.0,0.0,0.0,0.0,RIPE,-1.58,-0.67,202.9,1.72
16,3,0.0,0.0,0.05,0.0496566939037618,148.69,0.13,0.0,0.0,0.0,0.0,APNIC,1.64,-1.23,322.96,2.05
17,2,0.0,0.0,0.03,0.0258207940014313,149.32,0.13,0.0,0.0,0.0,0.0,RIPE,1.64,-1.24,322.99,2.06
18,2,0.0,0.0,0.03,0.0258207940014313,149.32,0.13,0.0,0.0,0.0,0.0,RIPE,1.64,-1.24,322.99,2.06
19,5,0.25,0.12,0.14,0.1288220524572105,146.61,0.48,1.0,0.0,0.0,0.0,APNIC,-1.22,-2.17,240.6,2.49
20,2,0.0,0.0,0.09,0.0842353731626921,147.78,0.13,0.0,0.0,0.0,0.0,RIPE,1.63,-1.23,322.88,2.04
21,3,0.0,0.0,0.09,0.0879955274127348,147.68,0.13,0.0,0.0,0.0,0.0,RIPE,1.63,-1.23,322.86,2.04
22,2,0.0,1.0,0.0,5.815588949217598e-05,150.0,0.13,0.0,0.0,0.0,0.0,RIPE,2.23,1.01,24.34,2.45
